Combination_Index,initial_capital,risk_per_trade,open_range_min,stop_loss_pct,take_profit_pct,expiration_days,sigma,max_trades,max_minutes_in_trade,max_daily_loss_pct,max_portfolio_cap,max_drawdown_pct,max_consecutive_losses,trailing_stop_pct,decay_threshold
159,25000,0.2,15,0.1,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
160,25000,0.2,15,0.1,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
161,25000,0.2,15,0.1,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
162,25000,0.2,15,0.1,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
163,25000,0.2,15,0.1,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
164,25000,0.2,15,0.1,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
165,25000,0.2,15,0.1,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
166,25000,0.2,15,0.1,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
167,25000,0.2,15,0.1,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
168,25000,0.2,15,0.15,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
169,25000,0.2,15,0.15,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
170,25000,0.2,15,0.15,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
171,25000,0.2,15,0.15,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
172,25000,0.2,15,0.15,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
173,25000,0.2,15,0.15,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
174,25000,0.2,15,0.15,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
175,25000,0.2,15,0.15,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
176,25000,0.2,15,0.15,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
177,25000,0.2,15,0.15,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
178,25000,0.2,15,0.15,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
179,25000,0.2,15,0.15,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
180,25000,0.2,20,0.05,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
181,25000,0.2,20,0.05,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
182,25000,0.2,20,0.05,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
183,25000,0.2,20,0.05,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
184,25000,0.2,20,0.05,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
185,25000,0.2,20,0.05,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
186,25000,0.2,20,0.05,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
187,25000,0.2,20,0.05,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
188,25000,0.2,20,0.05,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
189,25000,0.2,20,0.05,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
190,25000,0.2,20,0.05,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
191,25000,0.2,20,0.05,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
192,25000,0.2,20,0.1,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
193,25000,0.2,20,0.1,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
194,25000,0.2,20,0.1,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
195,25000,0.2,20,0.1,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
196,25000,0.2,20,0.1,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
197,25000,0.2,20,0.1,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
198,25000,0.2,20,0.1,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
199,25000,0.2,20,0.1,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
200,25000,0.2,20,0.1,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
201,25000,0.2,20,0.1,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
202,25000,0.2,20,0.1,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
203,25000,0.2,20,0.1,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
204,25000,0.2,20,0.15,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
205,25000,0.2,20,0.15,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
206,25000,0.2,20,0.15,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
207,25000,0.2,20,0.15,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
208,25000,0.2,20,0.15,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
209,25000,0.2,20,0.15,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
210,25000,0.2,20,0.15,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
211,25000,0.2,20,0.15,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
212,25000,0.2,20,0.15,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
213,25000,0.2,20,0.15,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
214,25000,0.2,20,0.15,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
215,25000,0.2,20,0.15,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
